id,date_detection,priorite,score,statut,titre,organisme,type_financement,zone,themes,montant,deadline,deadline_date,deadline_status,deadline_source,lien,eligibilite_ambition_campus,pieces_probables,responsable,prochaine_action,notes
175722e86b,2026-07-06,A - à traiter vite,58,nouveau,"Aide pour la création, la diffusion et la diversité - Ville de Paris Ville de Paris",Ville de Paris - Appels à projets,subvention,Paris,jeunesse,,Date limite du Dépôt des demandes Spectacle vivant (hors musique) Aide à la diffusion d’œuvres lundi 14 septembre 2026 à 23h59 Spectacle vivant (hors musique) Aide à la résidence a,2026-09-14,ouvert,https://www.paris.fr/pages/aide-a-la-creation-et-a-la-diffusion-d-uvres-5337,https://www.paris.fr/pages/aide-a-la-creation-et-a-la-diffusion-d-uvres-5337,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; jeune; jeunes
776476129b,2026-07-06,A - à traiter vite,55,nouveau,Aides pour les artistes et événements hip-hop - Ville de Paris Ville de Paris,Ville de Paris - Appels à projets,subvention,Paris,,aides spécifiques s’élève à 100 000 € en 2025 et jusqu’à 10 000€ par projet,date limite du dépôt des demandes pour les différentes aides de cette deuxième session de 2026 a été fixée au lundi 14 septembre 2026 (à 23h59) Détails des aides Puis-je déposer un,2026-09-14,ouvert,https://www.paris.fr/pages/nouvelles-aides-pour-les-artistes-et-evenements-hip-hop-30483,https://www.paris.fr/pages/nouvelles-aides-pour-les-artistes-et-evenements-hip-hop-30483,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; subvention; montant détecté
