id,date_detection,priorite,score,statut,titre,organisme,type_financement,zone,themes,montant,deadline,deadline_date,deadline_status,deadline_source,lien,eligibilite_ambition_campus,pieces_probables,responsable,prochaine_action,notes
13aa279a5e,2026-07-14,A - à traiter vite,79,nouveau,Appel à projets en Ile-de-France SG SOCIETE GENERALE | Société Générale,Carenews - Appels à projets,appel à projets,France,jeunesse; éducation/orientation; insertion; vie associative,,"Jusqu’au 30 septembre 2026, les entrepreneurs de toute la France ayant développé leur activité à la campagne pourront candidater sur le site innoveralacampagne",2026-09-30,ouvert,https://www.carenews.com/appels_a_projets,https://www.carenews.com/societe-generale/appels-a-projet/appel-a-projets-en-ile-de-france-sg-societe-generale,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,appel a projets; appel a projet; appel à projets; appel à projet; mecenat; mécénat; association; associations; deadline via recherche web (page résultat): https://www.carenews.com/appels_a_projets
f68561a194,2026-07-14,B - intéressant,43,nouveau,Appui au projet scientifique et culturel de la Villa 46 à Hanoï | Région Île-de-France,Région Île-de-France - Aides et appels à projets,subvention,Île-de-France,aide aux étudiants; insertion; vie associative,,Patrimoine Tourisme Appui au projet scientifique et culturel de la Villa 46 à Hanoï Date de publication Dépôt des demandes fermé - Nouvelle session du 20 juillet 2026 au 27 septemb,2026-09-27,ouvert,https://www.iledefrance.fr/aides-et-appels-a-projets/appui-au-projet-scientifique-et-culturel-de-la-villa-46-hanoi,https://www.iledefrance.fr/aides-et-appels-a-projets/appui-au-projet-scientifique-et-culturel-de-la-villa-46-hanoi,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,financement; association; associations; etudiant; étudiant; malus: marches publics; malus: marchés publics
